"name","url","country","region","divisions","keywords"
"Department of Corrections","http://www.illinois.gov/idoc/Pages/default.aspx","united states","illinois","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Corrections","http://doc.wi.gov/Home","united states","wisconsin","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Corrections","http://www.doc.state.mn.us/PAGES/","united states","minnesota","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Corrections","http://www.doc.state.ia.us/","united states","iowa","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Corrections","http://cd.nm.gov/","united states","new mexico","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Corrections","https://www.colorado.gov/cdoc/","united states","colorado","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Corrections and Community Supervision","http://www.doccs.ny.gov/","united states","new york","EM, Practitioner , Response, Health",""
"Department of Disabilities Planning Council","http://ddpc.ny.gov/","united states","new york","EM, Practitioner, Health, Science Research , Academia",""
"Department of Disabilities, Aging and Independent Living","http://dail.vermont.gov/","united states","vermont","Health, EM, Practitioner , Response",""
"Department of Emergency Management","http://www.ok.gov/oem/","united states","oklahoma","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Emergency Services","http://www.nd.gov/des/","united states","north dakota","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Environment & Conservation","http://www.tn.gov/environment/","united states","tennessee","Health, Science Research , Academia",""
"DEPARTMENT OF ENVIRONMENTAL PROTECTION","http://www.portal.state.pa.us/portal/server.pt/community/dep_home/5968","united states","pennsylvania","Health, Science Research , Academia",""
"Department of Environmental Quality","www.deq.state.ms.us","united states","mississippi","EM, Practitioner , Response, Health, Science Research , Academia",""
"Department of Environmental Reguation","http://www.der.wa.gov.au/","australia","western australia","EM, practitioner, health, science research Academia","emergency, management, regulations, environmental, industry"
"Department of Fire and Emergency Services","http://www.dfes.wa.gov.au/Pages/Default.aspx","australia","western australia","EM, practitioner, health, science research Academia, civil protection, critical infrastructure","emergency, mangement, response, preparadeness, recovery, fire, volunteer, hazard, bushfires, cyclone,"
"Department of Forests, Parks and Recreation","http://fpr.vermont.gov/","united states","vermont","EM, Practitioner , Response, Health, Science Research , Academia",""
"Department of Health","http://healthvermont.gov/","united states","vermont","Health, EM, Practitioner , Response",""
"Department of Health","http://www.health.ny.gov/","united states","new york","Health, Science Research , Academia",""
"DEPARTMENT OF HEALTH","http://www.health.state.pa.us","united states","pennsylvania","EM, practitioner , Response, Health, Science Research , Academia",""
"Department of Health","http://www.odh.ohio.gov/","united states","ohio","health, Science Research , Academia",""
"Department of Health","http://www.tn.gov/health/","united states","tennessee","Health, Science Research , Academia",""
"Department of Health","http://www.msdh.state.ms.us/","united states","mississippi","Health, Science Research , Academia",""
"Department of Health","http://www.healthy.arkansas.gov/Pages/default.aspx","united states","arkansas","Health, Science Research , Academia",""
"Department of Health","http://www.health.state.mn.us/index.html","united states","minnesota","Health, Science Research , Academia",""
"Department of Health","https://www.ndhealth.gov/","united states","north dakota","Health, Science Research , Academia",""
"Department of Health","http://nmhealth.org/","united states","new mexico","Health, Science Research , Academia",""
"Department of Health & Hospitals","http://dhh.louisiana.gov/","united states","louisana","Health, Science Research , Academia",""
"Department of Health & Senior Services","http://health.mo.gov/index.php","united states","missouri","Health, Science Research , Academia",""
"Department of Health Office of Health Preparedness","http://www.odh.ohio.gov/healthpreparedness/emergencypreparedness.aspx","united states","ohio","EM, Practitioner , Response, Health, Science Research , Academia",""
"Department of Health Services","https://www.dhs.wisconsin.gov/","united states","wisconsin","Health, Science Research , Academia",""
"Department of Health: Disaster Preparadenss and Management","http://www.public.health.wa.gov.au/1/1194/2/disaster_management.pm","australia","western australia","EM, practitioner, health, science research Academia, civil protection, critical infrastructure","emergency, managemet, preparadeness, health, response, recovery, training"
"Department of Homeland Security","http://www.fema.gov/","united states","all regions","EM, Practitioner , Response, Cyber , Civil Security"," Global Precipitation, Landsat, OCO-2, SMAP"
"Department of Homeland Security & Emergency Management","http://www.nmdhsem.org/","united states","new mexico","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Human Services","http://www.nd.gov/dhs/about/","united states","north dakota","Health, Science Research , Academia",""
"Department of Information Technology","http://www.nd.gov/itd/events/scheduled-changes/department-transportation-gis-maintenance","united states","north dakota","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Justice","http://attorneygeneral.delaware.gov/","united states","delaware","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Labor","http://www.labor.ar.gov/Pages/default.aspx","united states","arkansas","EM, Practitioner , Response",""
"Department of Labor","http://www.illinois.gov/idol/Pages/default.aspx","united states","illinois","EM, Practitioner , Response",""
"DEPARTMENT OF LABOR AND INDUSTRY","http://www.portal.state.pa.us/portal/server.pt?open=512&objID=5278&mode=2","united states","pennsylvania","Business Continuity , Risk management, Science Reseaerch , Academia",""
"Department of Mental Health: Developmental Disabilities","http://dmh.mo.gov/dd/","united states","missouri","Health, Science Research , Academia",""
"Department of Natural Resources","http://dnr.louisiana.gov/","united states","louisana","EM, Practitioner , Response, Science , Research , Academia",""
"Department of Natural Resources","http://www.dnr.illinois.gov/","united states","illinois","EM, Practitioner , Response, Science , Research , Academia",""
"Department of Natural Resources","http://dnr.wi.gov/","united states","wisconsin","EM, Practitioner , Response, Science , Research , Academia",""
"Department of Natural Resources","http://www.dnr.state.mn.us/index.html","united states","minnesota","EM, Practitioner , Response, Science , Research , Academia",""
"Department of Natural Resources","http://www.iowadnr.gov/","united states","iowa","EM, Practitioner , Response, Science , Research , Academia",""
"Department of Natural Resources","https://cdnr.us/#/start","united states","colorado","EM, Practitioner , Response, Science , Research , Academia",""
"Department of Public Health","http://www.dph.illinois.gov/","united states","illinois","Health, Science Research , Academia",""
"Department of Public Health","http://www.idph.state.ia.us/","united states","iowa","Health, Science Research , Academia",""
"Department of Public Health & Environment","https://www.colorado.gov/cdphe","united states","colorado","Health, Science Research , Academia",""
"Department of Public Safety","http://www.dps.state.ms.us/","united states","mississippi","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Public Safety","http://dps.mo.gov/dir/programs/ohs/","united states","missouri","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Public Safety","http://www.dps.state.nm.us/","united states","new mexico","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Public Safety","https://www.colorado.gov/publicsafety","united states","colorado","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Public Safety and Corrections","http://www.doc.louisiana.gov/","united states","louisana","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Public Safety: Office of the State Fire Marshal","http://dfs.dps.mo.gov/","united states","missouri","Health, Science Research , Academia",""
"Department of Public Service","http://www.dps.ny.gov/","united states","new york","Health, Science Research , Academia",""
"Department of Safety and Homeland Security","http://dshs.delaware.gov/","united states","delaware","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Safety and Professional Services","http://dsps.wi.gov/Home","united states","wisconsin","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://www.state.nj.us/transportation/","united states","new jersey","EM, Practitioner , Response, Science Research , Academia",""
"Department of Transportation","https://www.dot.ny.gov/index","united states","new york","EM, Practitioner , Response, Civil , Cyber Security",""
"DEPARTMENT OF TRANSPORTATION","http://www.dot.state.pa.us/","united states","pennsylvania","EM, Practitioner, Civil , Cyber Security",""
"Department of Transportation","www.gomdot.com ","united states","mississippi","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://www.modot.org/","united states","missouri","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://wisconsindot.gov/Pages/home.aspx","united states","wisconsin","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://www.dot.state.mn.us/","united states","minnesota","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://www.iowadot.gov/index.html#/services","united states","iowa","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://www.dot.nd.gov/","united states","north dakota","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","http://www.dot.state.nm.us/content/nmdot/en.html","united states","new mexico","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation","https://www.codot.gov/","united states","colorado","EM, Practitioner , Response, Civil , Cyber Security",""
"Department of Transportation (DOT)","http://www.tn.gov/tdot/","united states","tennessee","EM, Practitioner , Response, Civil , Cyber Security, Science Research , Academia",""
"Department of Transportation & Development","http://wwwsp.dotd.la.gov/Pages/default.aspx","united states","louisana","EM, Practitioner , Response, Civil , Cyber Security",""
"Department on Aging","https://www.iowaaging.gov/","united states","iowa","Health, Science Research , Academia",""
"Departments & Agencies","http://www.state.nj.us/nj/gov/deptserv/","united states","new jersey","EM, Practitioner , Response, Health, Science Research , Academia, Civil , Cyber Security, ",""
"Departmnet of Corrections","http://www.tn.gov/correction/","united states","tennessee","EM, Practitioner , Response, Health",""
"Departnment of Agriculture and Food","https://www.semc.wa.gov.au/Pages/default.aspx","australia","western australia","EM, practiioner, health, science research Academia","emergency, management, hazard, animal, pest, plant, disease, response, recovery, outbreak, biosecurity"
"DeSoto County Emergency Management Department","http://desotobocc.com/departments/emergency_management","united states","florida","EM, Practitioner , Response, Civil , Cyber Security",""
"DESPP: State Police","http://www.ct.gov/despp/site/default.asp","united states","connecticut","EM, Practitioner , Response, Civil , Cyber Security",""
"Development Authority","https://www.mississippi.org/","united states","mississippi","EM, Practitioner , Response, Science , Research , Academia",""
"Developmental Disabilities","http://wgcdd.wyo.gov/","united states","wyoming","Health, Science Research , Academia",""
"Developmental Disabilities","http://www.scdd.ca.gov/","united states","california","Health, Science Research , Academia",""
"Developmental Disabilities Council","http://www.idaction.org/","united states","iowa","Health, Science Research , Academia",""
"Developmental Disabilities Council","http://www.ddc.wa.gov/","united states","washington","Health, Science Research , Academia",""
"Developmental Disasbilities","http://www.idaho.gov/agency/developmental-disabilities-council-on","united states","idaho","Health, Science Research , Academia",""
"DeVry University","http://www.devry.edu/degree-programs/liberal-arts-sciences/emergency-management.html","united states","new york","bachelors, justice, administration, mitigation, preparedness, response, recovery, natural disasters, technological, terrorism, hostage, crisis",""
"DHEC","http://www.scdhec.gov/","united states","south carolina","Health",""
"DHHS","http://www.dhhs.nh.gov/","united states","new hampshire","Health, Science Research , Academia",""
"Disabilites","http://www.ok.gov/odc/","united states","oklahoma","Health, Science Research , Academia",""
"Disability Concerns","http://kcdcinfo.ks.gov/home","united states","kansas","Health, Science Research , Academia",""
"Disability Minnesota","http://www.mndisability.gov/public/","united states","minnesota","Health, Science Research , Academia",""
"Disability Services","http://portal.ct.gov/Health-and-Social-Services/Disability-Services/?TaxId=395","united states","connecticut","Health, EM, Practitioner , Response",""
"Disability.gov","https://www.disability.gov/?s=&fq=topics_taxonomy:%22Emergency+Preparedness%5E%5E%22","united states","all regions","EM, Practitioner , Response, Health","Health Literature, Articles & Publications, Emergency Preparedness"
"Disaster and Alerts","http://www.qldalert.com/","australia","queensland","EM, practitioner, health","emergency, disaster, alerts"
"Disaster and Emergency Services","http://montanadma.org/disaster-and-emergency-services","united states","montana","EM, Practitioner , Response, Civil , Cyber Security",""
"Disaster Assist","http://www.disasterassist.gov.au/Pages/default.aspx","australia","all regions","EM, practitioner, health, science research Academia","emergency, disaster,assist, help, response, recovery, expenditure, relief"
"Disaster Assistance Improvement Programês (DAIP)","www.DisasterAssistance.gov","united states","all regions","EM, Practitioner , Response",""
"Disaster Communication Site","http://qso.com/satern411/","united states","all regions","EM, Practitioner , Response",""
"Disaster Information Management Research Center","http://sis.nlm.nih.gov/dimrc.html","united states","all regions","EM, Practitioner , Response, Health"," Program Improvement"
"Disaster Management: Current Warnings and Alerts","http://disaster.qld.gov.au/ea/default.asp","australia","queensland","EM, practitioner, health, science research Academia,","emergency, warnings, alerts, weather, fire"
"Disaster Recovery","http://www.justice.gov/atr/disaster-recovery","united states","all regions","Civil , Cyber Security",""
"Disaster Relief","https://www.gsaadvantage.gov/advantage/search/specialCategory.do?cat=ADV.DR","united states","all regions","EM, Practitioner , Response, NGO , Humanitarian",""
"Disease Outbreaks Province of BC","http://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/preparedbc/know-the-risks/disease-outbreaks","canada","british columbia","EM, Practitioner , Response, Science Research Academia, Private Sector , Business Continuity, NGO Humanitarian","Household Emergency Plan, Emergency Kit, Wildfires, fire"
"Diseases and Prevention","http://portal.ct.gov/Health-and-Social-Services/Diseases-and-Prevention/?TaxId=407","united states","connecticut","EM, Practitioner , Response, Health, Civil , Cyber Security, Science Research , Academia",""
"DISS Qatar","http://www.diss.com.qa/","qatar","doha","fire, safety, risk, management, consent, health, safety, environmental, occupational, safety, health, nebosh, iosh, sheilds",""
"District Disaster Management Plans","https://www.police.qld.gov.au/programs/er/","australia","queensland","EM, practitioner, health, civil protection","emergency, disaster, management, plans, police"
"Division of Agriculture","http://dnr.alaska.gov/ag/","united states","alaska","EM, Practitioner , Response, Science , Research , Academia",""
"Division of Capitol Police Commonwealth of Virginia","http://www.vcp.state.va.us/","united states","virginia","EM, Practitioner , Response, Civil , Cyber Security",""
"Division of Developmental Disasbilities Services","http://dhss.delaware.gov/dhss/ddds/index.html","united states","delaware","EM, Practitioner , Response, Science , Research , AcadEM,ics, Health",""
"Division of Emergency Management - Homeland Security","http://dem.nv.gov/","united states","nevada","EM, Practitioner , Response, Civil , Cyber Security",""
"Division of Emergency Management & Homeland Security","http://hsu.vermont.gov/","united states","vermont","EM, Practitioner , Response, Health, Science Research , Academia, Civil , Cyber Security, ",""
"Division of Fire Safety","http://www.nh.gov/safety/divisions/firesafety/","united states","new hampshire","EM, Practitioner , Response, health",""
"Division of Forestry","http://forestry.alaska.gov/","united states","alaska","EM, Practitioner , Response, Science , Research , Academia",""
"Division of Forestry and Wildlife","http://dlnr.hawaii.gov/dofaw/","united states","hawaii","EM, Practitioner , Response, Science , Research , Academia",""
"Division of Homeland Security","http://www.dhses.ny.gov/","united states","new york","EM, Practitioner , Response, Health, Science Research , Academia, Civil , Cyber Security, ",""
"Division of Homeland Security & Emergency Management","http://www.coemergency.com/","united states","colorado","EM, Practitioner , Response, Civil , Cyber Security",""
"Division of Homeland Security & Emergency Managment","http://ready.alaska.gov/","united states","alaska","EM, Practitioner , Response, Civil , Cyber Security",""
"Division of Information of Technology","http://www.doit.ri.gov/","united states","rhode island","Civil , Cyber Security",""
"Division of Public Health","http://www.dhss.delaware.gov/dhss/dph/index.html","united states","delaware","Health, Science Research , Academia",""
"Division of State Police","http://www.nh.gov/safety/divisions/nhsp/index.html","united states","new hampshire","EM, Practitioner , Response, Health, Science Research , Academia, Civil , Cyber Security, ",""
"Division of State Police","https://www.troopers.ny.gov/","united states","new york","EM, Practitioner , Response, Civil , Cyber Security",""
"Dixie County Emergency Services","http://www.dixieemergency.com/","united states","florida","EM, Practitioner , Response, Civil , Cyber Security",""
"DNREC: Division of Water","http://www.dnrec.delaware.gov/wr/Pages/Default.aspx","united states","delaware","Science Research , Academia, Health",""
"Dorchester County Emergency Management Department","http://www.dorchestercounty.net/index.aspx?page=69","united states","south carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Douglas County Emergency Management","http://www.celebratedouglascounty.com/view/departments/view_dept/&cdept=306&department=Emergency%20Management","united states","georgia","EM, Practitioner , Response, Civil , Cyber Security",""
"DPS: Mississippi Environment Access Program","http://www.dps.state.ms.us/divisions/office-of-emergency-operations/mississippi-statewide-credentialing-access-program/","united states","mississippi","EM, Practitioner , Response, Science , Research , Academia",""
"Drexel University","http://catalog.drexel.edu/coursedescriptions/quarter/undergrad/emer/","united states","pennsylvania","hazard, mitigation, public, management, crisis, Emergency, incident, risk, infrastructure, disaster, information, search, rescue",""
"DRI Canada","http://www.dri.ca/index.php","canada","all regions","EM, practitioner","emergency, management, education, training, planning, business continuity, recovery, resilient"
"Drive BC","http://www.drivebc.ca/#listView _","canada","british columbia","EM, Practitioner , Response","snowmelt, flood, flood warnings, flood advisories, streamflow conditions,"
"Driving and Transporation","http://portal.ct.gov/driving/?TaxId=249","united states","connecticut","EM, Practitioner , Response, Civil , Cyber Security",""
"Dublin City University","https://www.dcu.ie/prospective/deginfo.php?classname=DCUXXX","ireland","dublin","humanitarian, Emergency, relief, international, cooperation, management, logistics, hazard, analysis, risk, assessment, planning, business, continuity",""
"Duplin County Emergency Management","http://www.duplincountync.com/governmentOffices/emergencyManagement.html","united states","north carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Durham County Emergency Management","http://dconc.gov/government/departments-a-e/emergency-management","united states","north carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Duval County Fire/Rescue - Emergency Management","http://www.coj.net/departments/fire-and-rescue/emergency-preparedness.aspx","united states","florida","EM, Practitioner , Response, Civil , Cyber Security",""
"Earthquake Authority","http://www.earthquakeauthority.com/Pages/default.aspx","united states","california","EM, Practitioner , Response, Science , Research , Academia",""
"Earthquake Commision","http://www.eqc.govt.nz/","new zealand","all regions","EM, practitioner, science research Academia","emergency, hazard, earthquake, commission, flooding preparedness"
"Earthquakes Canada","https://twitter.com/CANADAquakes","canada","british columbia","Science, Research, Academia, EM, Practitioner , Response","preparedness, Preparadenss kits"
"Earthquakes Province of BC","http://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/preparedbc/know-the-risks/earthquakes ","canada","british columbia","EM, Practitioner , Response, Science Research Academia, Private Sector , Business Continuity, NGO Humanitarian","Road Condition, Traffic Incident, Planned Traffic Event,"
"Eastern Band of Cherokee Indians","http://nc-cherokee.com/operations/home/public-safety/emergency-management9-1-1/","united states","north carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Eastern Kentucky University","http://ssem.eku.edu/","united states","kentucky","safety, security, Emergency, management, fire, service, occupational, traffic, risk, medical, bachelor, on-campus, online, administration, protection, arson, homeland, masters",""
"Eastern Michigan University","http://www.emich.edu/cot/grad_msts.htm","united states","michigan","masters, science, technology, evening, online, hybrid, part-time, full-time, update, changing, society, forecasting, public, safety, career, technical, workforce, education",""
"Eastern New Mexico University","http://liberal-arts.enmu.edu/health/ems2/index.shtml","united states","new mexico","Emergency, management, fire, services, administration, EM,gt, fesa, bachelor, applied, arts, science, preparedness, response, recovery, mitigation, integration, criminal justice, military, minor, degree",""
"Edgecombe County Emergency Services","http://www.edgecombecountync.gov/eservices/eservices.aspx","united states","north carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Edgefield County Emergency Preparedness","http://www.exploreedgefield.com/community-resources.html#departments","united states","south carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Edmonds Community college","http://www.edcc.edu/programs/emergency/default.html","united states","washington","Emergency, preparedness, online, first, responder, volunteer, safety, professional, planning, prepare, business, continuity, plan, federal, state, local, government, contingency, recovery, loss, presentation",""
"Education and Courses","https://www.emknowledge.gov.au/education-and-courses/","australia","all regions","EM, practitioner, science research Academia","education, emergency, management, training, courses"
"EMA","http://www.emaponline.org/","united states","all regions","EM, Practitioner , Response, Civil , Cyber Security","technology"
"Embry-Riddle Aeronautical University","http://worldwide.erau.edu/degrees-programs/programs/bachelors/emergency-services/index.html","united states","florida","bachelor, masters, science, public, private, fire, medical, Emergency, investigation, engineering, aircraft, reduce, firefighting, osha, public, information, wildlands, aviation",""
"Emergency Act 204","http://www.legislation.sa.gov.au/lz/c/a/emergency%20management%20act%202004/current/2004.30.un.pdf","australia","south australia","EM, practitioner, health, science Academia research, civil protection, ","Emergency, management, act, 2004"
"Emergency Health Services","http://www.health.alberta.ca/services/EHS.html","canada","alberta","EM, Practitioner, health","emergency, management, disaster, response, recovery, earthquake, wildfire, chemical spill, flood,"
"Emergency Info BC","http://www.emergencyinfobc.gov.bc.ca/?","canada","british columbia","EM, Practitioner , Response","Road, Train, Air, Evacuation Routes"
"Emergency Info BC","http://www.emergencyinfobc.gov.bc.ca/prevention-preparation/","canada","british columbia","EM, Practitioner , Response","Evacuation Alerts, Evacuation Orders, fire"
"Emergency Info BC","https://twitter.com/EmergencyInfoBC","canada","british columbia","Science, Research, Academia, EM, Practitioner , Response","Earthquakes, Earthquake Alerts"
"Emergency Information - New South Wales","http://emergencynsw.info/#","australia","new south wales","EM, practitioner, health, science research Academia ","Emergency, information, alerts, earthquakes, fire, flood, weather, cyclone, track"
"Emergency Managemen and fire saftey contact information","http://gtds.gov.sk.ca/pages/Details.aspx?organizationid=ff3af2d6-c2e1-4c0a-9478-8502c47f1d46","canada","saskatchewan","EM, practitioner, health, science research Academia, ngo , humanitarian","emergency, disaster, family, relief, response,"
"Emergency Management","http://www.ag.gov.au/emergencymanagement/Pages/default.aspx","australia","all regions","Cyber , Civil Security, EM, Practitioner and Response, Science , Research , Academia","Response, Planning, Mitigation, Prevention, Risk-Reduction"
"Emergency Management","https://www.saskatchewan.ca/live/public-safety-protection-and-emergency-services/emergency-management","canada","saskatchewan","EM, practitioner, health, science research Academia, ngo , humanitarian","emergency, management, contact, phone, numbers, directory"
"Emergency Management","http://dps.sd.gov/emergency_services/emergency_management/","united states","south dakota","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management","http://dem.utah.gov/","united states","utah","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management","http://www.dem.azdema.gov/index.html","united states","arizona","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management & Homeland Security","http://www.ct.gov/demhs/site/default.asp","united states","connecticut","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management & Homeland Security","http://www.michigan.gov/msp/0,4643,7-123-72297_60152---,00.html","united states","michigan","EM, Practitioner , Response, Health, Science Research , Academia, Civil , Cyber Security, ",""
"emergency management act","http://laws-lois.justice.gc.ca/eng/acts/E-4.56/","canada","all regions","EM, practitioner, health, science research Academia, ngo , humanitarian, business contnuity","emergency, management, act, national"
"Emergency Management Act","http://www.qp.alberta.ca/documents/Acts/E06P8.pdf","canada","alberta","EM, Practitioner, science research, Academia, humanitarian , ngo","emergency, response, relief, flood, disaster, humanitarian, law,"
"emergency management act","http://nslegislature.ca/legc/statutes/emergmnt.htm","canada","nova scotia","EM, practitioner, health, science research Academia, ngo , humanitarian","emergenecy, respone, recovery, alerts, twitter"
"Emergency Management Agency","http://www.riema.ri.gov/","united states","rhode island","EM, Practitioner , Response, Health, Civil , Cyber Security, Science Research , Academia",""
"Emergency Management Agency","http://www.nema.ne.gov/index.shtml","united states","nebraska","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management Agency","http://www.scd.hawaii.gov/","united states","hawaii","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management and Nuclear Safety","http://nuclearsafety.gc.ca/eng/resources/emergency-management-and-safety/index.cfm","canada","all regions","EM, practitioner, civil protection, health, science research Academia","emergency, management, nuclear, preparedness, response"
"Emergency Management Association of Georgia","http://emagonline.com/","united states","georgia","EM, Practitioner , Response, Health, Private Sector , Business Continuity","Emergency Networks, Disaster Recovery & Products, Disaster Recovery Services & Supplies, Disaster Planning Literature, Critical Infrustructure"
"Emergency Management BC Community Emergency Program Review","http://www.embc.gov.bc.ca/em/cepr/review.html","canada","british columbia","EM, Practitioner, Science Academia Research","EOC, management, team, briefing, agenda, 401, forms, templates"
"Emergency Management BC Policies","http://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/local-emergency-programs/embc-policies-1528","canada","british columbia","EM, Practitioner, health","emergency, response, legistlation, crine, justice, safety, education"
"Emergency Management Chatham County","http://www.chathamemergency.org/","united states","georgia","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency management course descriptions","https://www.saskatchewan.ca/live/public-safety-protection-and-emergency-services/additional-public-safety-resources/emergency-management-course-descriptions","canada","saskatchewan","EM, practitioner, science research Academia","emergency, management, response, relief, disaster, recovery, flood, respond, alerts"
"Emergency Management Division","http://www.jibc.ca/programs-courses/schools-departments/school-public-safety/emergency-management-division/academic-programs/emergency-management-certificate","canada","british columbia","EM, Practitioner, science research Academia","emergency, response, relief, humanitarian, first aid, health"
"Emergency Management Division","http://mil.wa.gov/emergency-management-division","united states","washington","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management Fire and Rescue Levy Boundaries","https://data.qld.gov.au/dataset/emergency-management-fire-and-rescue-levy-boundaries","australia","queensland","EM, practitioner, science research Academia","emergency, management, fire, rescue, levy, boundaries, data"
"Emergency Management Greenville County","http://www.gceoc.com/","united states","south carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Emergency Management Guidance: training requirements","http://nationmun.ca/wp-content/uploads/2015/Minutes/06-%202%20March/7.2.1.pdf","canada","ontario","EM, practitioner","disaster, emergency, response, management, recovery, preparedness, civil, protection, fire, flood, evacuation, laws, regulations,"
"Emergency Management in Canada and the Government Operations Centre","http://www.afn.ca/uploads/files/emi-forum/4.pdf","canada","all regions","EM, practitioner, civil protection","emergency, hazards, management, government, operations, disaster"
"Emergency Management Ministry of Justic","http://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/justice","canada","british columbia","EM, Practitioner, health, ngo , humanitarian response, science research Academia","health, emergency, response, plans, development, exercise, recovery"
"Emergency Management Ontario","http://www.emergencymanagementontario.ca/english/home.html","canada","ontario","EM, practitioner, health, science research Academia, ngo , humanitarian","emergency, alerts, warnings, preparedness, tornado, environment, weather,"
"Emergency management organizations","http://www.getprepared.gc.ca/cnt/rsrcs/mrgnc-mgmt-rgnztns-en.aspx","canada","all regions","EM, practitioner, science research Academia, business continuity, critical infrastructure","emergency, management, organizations, provinces, territories, organizations"
"emergency management training","http://novascotia.ca/just/EMO/emergency_management_community/em_management_training.asp","canada","nova scotia","EM, practitioner","emergency, preparedness, association, nonprofit, health, pandemic, business continuity"
"emergency management training","http://www.gov.pe.ca/jps/index.php3?number=1030279","canada","prince edward island","EM, practitioner, health, ngo , humanitarian, science research Academia","rural, disaster, resilience, project, emergency, preparedness, guide"
"Emergency Management Training Program","http://www.in.gov/dhs/emermgtngpgm.htm","united states","indiana","EM, Practitioner , Response",""
"Emergency Management Victoria","https://www.emv.vic.gov.au/","australia","victoria","EM, practitioner, health, science Academia research, civil protection","emergency, management, disaster, response, warnings"
"Emergency Management: ebola virus disease","http://www.health.gov.on.ca/en/public/programs/emu/ebola/","canada","ontario","EM, practitioner, health, science research Academia, ","disaster, emergency, response, coordination, health, evacuaton,"
"emergency measures act","http://laws.gnb.ca/en/showpdf/cs/2011-c.147.pdf","canada","new brunswick","EM, practitioner, health, science research Academia","emergency, influenza, pandemic, health, plan"
"emergency measures act","http://convert2mp3.net/en/index.php?p=complete&id=youtube_nDxWnXNWweE&key=5QDf9rV67DVY","canada","nunavut","EM, practitioner, health, science research Academia, ngo , humanitarian","climate, change, adaptation, resource, guide, emergency, planning, extreme, weather, case, studies, preparedness,"
"emergency measures organization","http://www2.gnb.ca/content/gnb/en/departments/public_safety/emo.html","canada","new brunswick","EM, Practitioner, health, ngo , humanitarian, science research Academia","emergency, management, preparadenss, training, courses"
"Emergency Measures Organization","http://www.community.gov.yk.ca/emo/","canada","yukon","EM, practitioner, health, ngo , humanitarian, science research Academia","pacific, northwest, emergency, management, agreement, legislation"
"Emergency Measures Organization Manitoba","http://www.gov.mb.ca/emo/","canada","manitoba","EM, practitioner, health, ngo , humanitarian, science Academia research","emergency, flood, recovery, rivers, lakes, assistance"
"emergency measures organization prince edward island","http://www.gov.pe.ca/jps/index.php3?number=20720&lang=E","canada","prince edward island","EM, practitioner, health, ngo , humanitarian, science research Academia","emergency, management, response, recovery, preparedness, justice, public, safety, hurricane, warnings,"
"Emergency Medical Services","http://www.gov.mb.ca/health/ems/index.html","canada","manitoba","EM, practiioner, health","emergency, management, education, course, financial assistance,"
